Date;High;Avg;Low;;;;;;;;;;;;;
1;5;0;-6;;;;;;;;;;;;;
2;7;0;-8;;;;;;;;;;;;;
3;7;2;-1;;;;;;;;;;;;;
4;8;2;-6;;;;;;;;;;;;;
5;8;2;-5;;;;;;;;;;;;;
6;5;3;0;;;;;;;;;;;;;
7;5;2;-1;;;;;;;;;;;;;
8;11;5;0;;;;;;;;;;;;;
9;9;3;-2;;;;;;;;;;;;;
10;8;2;-4;;;;;;;;;;;;;
11;5;3;0;;;;;;;;;;;;;
12;9;4;2;;;;;;;;;;;;;
13;6;4;4;;;;;;;;;;;;;
14;11;5;0;;;;;;;;;;;;;
15;10;4;-2;;;;;;;;;;;;;
16;11;4;-4;;;;;;;;;;;;;
17;10;6;1;;;;;;;;;;;;;
18;13;8;2;;;;;;;;;;;;;
19;16;7;-2;;;;;;;;;;;;;
20;20;10;-2;;;;;;;;;;;;;
21;21;11;0;;;;;;;;;;;;;
22;19;11;0;;;;;;;;;;;;;
23;12;7;0;;;;;;;;;;;;;
24;14;5;-5;;;;;;;;;;;;;
25;17;7;-5;;;;;;;;;;;;;
26;17;7;-4;;;;;;;;;;;;;
27;20;10;-2;;;;;;;;;;;;;
28;19;10;-1;;;;;;;;;;;;;
29;10;7;2;;;;;;;;;;;;;
30;12;5;0;;;;;;;;;;;;;